fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff_info
anthro_7-0-0 collectionobject ns2:collectionobjects_common contentEvent,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentEvent,Object Description Information,Content,Content controlled event or period/era,contentEvents,contentEvent,string,n,y,n,authority: chronology/event; authority: chronology/era,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common assocEvent,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocEvent,Object History and Association Information,Associations,Associated controlled event or period/era,assocEvents,assocEvent,string,n,y,n,authority: chronology/event; authority: chronology/era,"",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common technicalAttribute,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttribute,Object Description Information,Technical attribute,Technical attribute,technicalAttributeGroupList > technicalAttributeGroup,technicalAttribute,string,n,n,y,option list: technicalAttributes,"magnetic-tape-type, record-speed",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common technicalAttributeMeasurement,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttributeMeasurement,Object Description Information,Technical attribute,Technical attribute measurement,technicalAttributeGroupList > technicalAttributeGroup,technicalAttributeMeasurement,string,n,n,y,option list: technicalAttributeMeasurements,"78, metal",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common technicalAttributeMeasurementUnit,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.technicalAttributeMeasurementUnit,Object Description Information,Technical attribute,Technical attribute measurement unit,technicalAttributeGroupList > technicalAttributeGroup,technicalAttributeMeasurementUnit,string,n,n,y,option list: technicalAttributeMeasurementUnits,rpm,not in ohc_1-0-18_7-2
anthro_7-0-0 objectexit ns2:objectexit_common currentOwner,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.currentOwner,Object Exit Information,"",Current owner,"",currentOwner,string,n,n,n/a,authority: person/local; authority: organization/local,"",not in ohc_1-0-18_7-2
anthro_7-0-0 objectexit ns2:objectexit_common depositor,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.depositor,Object Exit Information,"",Depositor,"",depositor,string,n,n,n/a,authority: person/local; authority: organization/local,"",not in ohc_1-0-18_7-2
anthro_7-0-0 objectexit ns2:objectexit_common displosalNewObjectNumber,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.displosalNewObjectNumber,Deaccession and Disposal Information,"",Disposal new object number,"",displosalNewObjectNumber,string,n,n,n/a,"","",not in ohc_1-0-18_7-2
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionAuthorizer,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionAuthorizer,Deaccession and Disposal Information,"",Deaccession authorizer,"",deaccessionAuthorizer,string,n,n,n/a,authority: person/local,"",not in ohc_1-0-18_7-2
anthro_7-0-0 objectexit ns2:objectexit_common authorizationDate,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.authorizationDate,Deaccession and Disposal Information,"",Authorization date,"",authorizationDate,date,n,n,n/a,"","",not in ohc_1-0-18_7-2
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectName,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectName,Object Identification Information,Object name,Object name,objectNameList > objectNameGroup,objectName,string,n,n,y,"","",source differences
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectName,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectName,Object Identification Information,Object name,Object name,objectNameList > objectNameGroup,objectName,string,n,n,y,authority: concept/nomenclature,"",source differences
anthro_7-0-0 collectionobject ns2:collectionobjects_common objectNameLevel,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLevel,Object Identification Information,Object name,Object name level,objectNameList > objectNameGroup,objectNameLevel,string,n,n,y,option list: nameLevels,"group, subgroup",source differences
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common objectNameLevel,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameLevel,Object Identification Information,Object name,Object name level,objectNameList > objectNameGroup,objectNameLevel,string,n,n,y,option list: ohcNameLevels,"primary, secondary",source differences
anthro_7-0-0 collectionobject ns2:collectionobjects_common assocPeople,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeople,Object Identification Information,Associated cultural group,Associated cultural group,assocPeopleGroupList > assocPeopleGroup,assocPeople,string,n,n,y,"","",source differences
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common assocPeople,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.assocPeople,Object Identification Information,Associated cultural group,Associated cultural group,assocPeopleGroupList > assocPeopleGroup,assocPeople,string,n,n,y,authority: concept/ethculture,"",source differences
anthro_7-0-0 collectionobject ns2:collectionobjects_common material,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.material,Object Identification Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,"","",source differences
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common material,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.material,Object Identification Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,authority: concept/material,"",source differences
anthro_7-0-0 collectionobject ns2:collectionobjects_common contentConcept,anthro_7-0-0,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentConcept,Object Description Information,Content,Content concept,contentConcepts,contentConcept,string,n,y,n,authority: concept/associated; authority: concept/material,"",source differences
ohc_1-0-18_7-2 collectionobject ns2:collectionobjects_common contentConcept,ohc_1-0-18_7-2,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.contentConcept,Object Description Information,Content,Content concept,contentConcepts,contentConcept,string,n,y,n,authority: concept/associated,"",source differences
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionApprovalGroup,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalGroup,Deaccession and Disposal Information,Deaccession approval,Deaccession approval group,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",ui path differences
ohc_1-0-18_7-2 objectexit ns2:objectexit_common deaccessionApprovalGroup,ohc_1-0-18_7-2,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalGroup,Object Exit Information,Deaccession approval,Deaccession approval group,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",ui path differences
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionApprovalIndividual,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalIndividual,Deaccession and Disposal Information,Deaccession approval,Deaccession approval individual,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalIndividual,string,n,n,y,authority: person/local,"",ui path differences
ohc_1-0-18_7-2 objectexit ns2:objectexit_common deaccessionApprovalIndividual,ohc_1-0-18_7-2,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalIndividual,Object Exit Information,Deaccession approval,Deaccession approval individual,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalIndividual,string,n,n,y,authority: person/local,"",ui path differences
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionApprovalStatus,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalStatus,Deaccession and Disposal Information,Deaccession approval,Deaccession approval status,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",ui path differences
ohc_1-0-18_7-2 objectexit ns2:objectexit_common deaccessionApprovalStatus,ohc_1-0-18_7-2,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalStatus,Object Exit Information,Deaccession approval,Deaccession approval status,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",ui path differences
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionApprovalDate,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalDate,Deaccession and Disposal Information,Deaccession approval,Deaccession approval status date,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalDate,date,n,n,y,"","",ui path differences
ohc_1-0-18_7-2 objectexit ns2:objectexit_common deaccessionApprovalDate,ohc_1-0-18_7-2,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalDate,Object Exit Information,Deaccession approval,Deaccession approval status date,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalDate,date,n,n,y,"","",ui path differences
anthro_7-0-0 objectexit ns2:objectexit_common deaccessionApprovalNote,anthro_7-0-0,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalNote,Deaccession and Disposal Information,Deaccession approval,Deaccession approval note,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalNote,string,n,n,y,"","",ui path differences
ohc_1-0-18_7-2 objectexit ns2:objectexit_common deaccessionApprovalNote,ohc_1-0-18_7-2,objectexit,ns2:objectexit_common,ns2:objectexit_common,objectexit_common.deaccessionApprovalNote,Object Exit Information,Deaccession approval,Deaccession approval note,deacApprovalGroupList > deacApprovalGroup,deaccessionApprovalNote,string,n,n,y,"","",ui path differences
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionReferenceNumber,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Reference number,"",acquisitionReferenceNumber,string,y,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common acquisitionReferenceNumber,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReferenceNumber,Acquisition Information,"",Accession number,"",acquisitionReferenceNumber,string,y,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common accessionDateGroup,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.accessionDateGroup,Acquisition Information,"",Accession date,"",accessionDateGroup,structured date group,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common accessionDateGroup,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.accessionDateGroup,Acquisition Information,"",Accession date,"",accessionDateGroup,structured date group,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionDateGroup,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionDateGroup,Acquisition Information,"",Acquisition date,acquisitionDateGroupList,acquisitionDateGroup,structured date group,n,y,n,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common acquisitionDateGroup,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionDateGroup,Acquisition Information,"",Acquisition date,acquisitionDateGroupList,acquisitionDateGroup,structured date group,n,y,n,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionMethod,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"bequest, commission, exchange, found in collection, gift, purchase, transfer, treasure, unknown",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common acquisitionMethod,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionMethod,Acquisition Information,"",Acquisition method,"",acquisitionMethod,string,n,n,n/a,option list: acquisitionMethods,"bequest, curated-on-behalf-of-federal-government, curated-on-behalf-of-state-government, curated-on-behalf-of-tribal-government, donation, fieldCollected, foundInCollection, loan, purchase, staffCurated, transfer",
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionSource,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common acquisitionSource,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionSource,Acquisition Information,"",Acquisition source,acquisitionSources,acquisitionSource,string,n,y,n,authority: person/local; authority: organization/local,"",
anthro_7-0-0 acquisition ns2:acquisitions_common owner,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.owner,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common owner,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.owner,Acquisition Information,"",Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,"",
anthro_7-0-0 acquisition ns2:acquisitions_common groupPurchasePriceCurrency,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common groupPurchasePriceCurrency,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceCurrency,Acquisition Information,Price Information > Group purchase price,Group purchase price currency,"",groupPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
anthro_7-0-0 acquisition ns2:acquisitions_common groupPurchasePriceValue,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common groupPurchasePriceValue,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common objectOfferPriceCurrency,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectOfferPriceCurrency,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",
anthro_7-0-0 acquisition ns2:acquisitions_common objectOfferPriceValue,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectOfferPriceValue,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",
anthro_7-0-0 acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common objectPurchasePriceCurrency,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectPurchasePriceCurrency,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
anthro_7-0-0 acquisition ns2:acquisitions_common objectPurchasePriceValue,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common objectPurchasePriceValue,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",
anthro_7-0-0 acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common acquisitionReason,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common acquisitionReason,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","",
anthro_7-0-0 acquisition ns2:acquisitions_common approvalGroup,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common approvalGroup,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",
anthro_7-0-0 acquisition ns2:acquisitions_common approvalIndividual,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common approvalIndividual,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,"",
anthro_7-0-0 acquisition ns2:acquisitions_common approvalStatus,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",
ohc_1-0-18_7-2 acquisition ns2:acquisitions_common approvalStatus,ohc_1-0-18_7-2,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",
anthro_7-0-0 acquisition ns2:acquisitions_common approvalDate,anthro_7-0-0,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalDate,Acquisition Information,Approval,Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"","",
