fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,dumbfieldname,new?
core collectionobject ns2:collectionobjects_common softwareTechnicalAttributeUnit,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.softwareTechnicalAttributeUnit,Technical Specifications: Software/Web,Software technical attribute,Software technical attribute unit,softwareTechnicalAttributeGroupList > softwareTechnicalAttributeGroup,softwareTechnicalAttributeUnit,string,n,n,y,vocabulary: softwareattributeunits,"",collectionobject softwareTechnicalAttributeUnit,""
core collectionobject ns2:collectionobjects_common apiUrl,core,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.apiUrl,Technical Specifications: Software/Web,"",API URL,apiUrls,apiUrl,string,n,y,n,"","",collectionobject apiUrl,""
core concept ns2:concepts_common termDisplayName,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termDisplayName,Concept Information,Term,Term display name,conceptTermGroupList > conceptTermGroup,termDisplayName,string,y,n,y,"","",concept termDisplayName,""
core concept ns2:concepts_common termName,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termName,Concept Information,Term,Term name,conceptTermGroupList > conceptTermGroup,termName,string,n,n,y,"","",concept termName,""
core concept ns2:concepts_common termQualifier,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termQualifier,Concept Information,Term,Term qualifier,conceptTermGroupList > conceptTermGroup,termQualifier,string,n,n,y,"","",concept termQualifier,""
core concept ns2:concepts_common termStatus,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termStatus,Concept Information,Term,Term status,conceptTermGroupList > conceptTermGroup,termStatus,string,n,n,y,option list: conceptTermStatuses,"accepted, provisional, rejected, under review",concept termStatus,""
core concept ns2:concepts_common termType,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termType,Concept Information,Term,Term type,conceptTermGroupList > conceptTermGroup,termType,string,n,n,y,option list: conceptTermTypes,"alternate descriptor, descriptor, used for term",concept termType,""
core concept ns2:concepts_common termFlag,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termFlag,Concept Information,Term,Term flag,conceptTermGroupList > conceptTermGroup,termFlag,string,n,n,y,vocabulary: concepttermflag,"",concept termFlag,""
core concept ns2:concepts_common historicalStatus,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.historicalStatus,Concept Information,Term,Term historical status,conceptTermGroupList > conceptTermGroup,historicalStatus,string,n,n,y,option list: conceptHistoricalStatuses,"both, current, historical, unknown",concept historicalStatus,""
core concept ns2:concepts_common termLanguage,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termLanguage,Concept Information,Term,Term language,conceptTermGroupList > conceptTermGroup,termLanguage,string,n,n,y,vocabulary: languages,"",concept termLanguage,""
core concept ns2:concepts_common termPrefForLang,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termPrefForLang,Concept Information,Term,Term preferred for lang,conceptTermGroupList > conceptTermGroup,termPrefForLang,boolean,n,n,y,"","",concept termPrefForLang,""
core concept ns2:concepts_common termSource,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termSource,Concept Information,Term > Source,Term source name,conceptTermGroupList > conceptTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",concept termSource,""
core concept ns2:concepts_common termSourceDetail,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termSourceDetail,Concept Information,Term > Source,Term source detail,conceptTermGroupList > conceptTermGroup,termSourceDetail,string,n,n,y,"","",concept termSourceDetail,""
core concept ns2:concepts_common termSourceID,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termSourceID,Concept Information,Term > Source,Term source ID,conceptTermGroupList > conceptTermGroup,termSourceID,string,n,n,y,"","",concept termSourceID,""
core concept ns2:concepts_common termSourceNote,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.termSourceNote,Concept Information,Term > Source,Term source note,conceptTermGroupList > conceptTermGroup,termSourceNote,string,n,n,y,"","",concept termSourceNote,""
core concept ns2:concepts_common conceptRecordType,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.conceptRecordType,Concept Information,"",Concept type,conceptRecordTypes,conceptRecordType,string,n,y,n,vocabulary: concepttype,"",concept conceptRecordType,""
core concept ns2:concepts_common scopeNote,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.scopeNote,Concept Information,Scope note,Scope note,"",scopeNote,string,n,n,n/a,"","",concept scopeNote,""
core concept ns2:concepts_common scopeNoteSource,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.scopeNoteSource,Concept Information,Scope note,Scope note source,"",scopeNoteSource,string,n,n,n/a,"","",concept scopeNoteSource,""
core concept ns2:concepts_common scopeNoteSourceDetail,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.scopeNoteSourceDetail,Concept Information,Scope note,Scope note source detail,"",scopeNoteSourceDetail,string,n,n,n/a,"","",concept scopeNoteSourceDetail,""
core concept ns2:concepts_common citationSource,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.citationSource,Concept Information,Citation,Citation source,citationGroupList > citationGroup,citationSource,string,n,n,y,"","",concept citationSource,""
core concept ns2:concepts_common citationSourceDetail,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.citationSourceDetail,Concept Information,Citation,Citation source detail,citationGroupList > citationGroup,citationSourceDetail,string,n,n,y,"","",concept citationSourceDetail,""
core concept ns2:concepts_common additionalSource,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.additionalSource,Concept Information,Additional source,Additional source,additionalSourceGroupList > additionalSourceGroup,additionalSource,string,n,n,y,"","",concept additionalSource,""
core concept ns2:concepts_common additionalSourceDetail,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.additionalSourceDetail,Concept Information,Additional source,Additional source detail,additionalSourceGroupList > additionalSourceGroup,additionalSourceDetail,string,n,n,y,"","",concept additionalSourceDetail,""
core concept ns2:concepts_common additionalSourceID,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.additionalSourceID,Concept Information,Additional source,Additional source ID,additionalSourceGroupList > additionalSourceGroup,additionalSourceID,string,n,n,y,"","",concept additionalSourceID,""
core concept ns2:concepts_common additionalSourceNote,core,concept,ns2:concepts_common,ns2:concepts_common,concepts_common.additionalSourceNote,Concept Information,Additional source,Additional source note,additionalSourceGroupList > additionalSourceGroup,additionalSourceNote,string,n,n,y,"","",concept additionalSourceNote,""
core conditioncheck ns2:conditionchecks_common conditionCheckRefNumber,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionCheckRefNumber,Condition Check/Technical Assessment Information,"",Reference number,"",conditionCheckRefNumber,string,y,n,n/a,"","",conditioncheck conditionCheckRefNumber,""
core conditioncheck ns2:conditionchecks_common conditionCheckAssessmentDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionCheckAssessmentDate,Condition Check/Technical Assessment Information,"",Check/assessment date,"",conditionCheckAssessmentDate,date,n,n,n/a,"","",conditioncheck conditionCheckAssessmentDate,""
core conditioncheck ns2:conditionchecks_common conditionCheckMethod,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionCheckMethod,Condition Check/Technical Assessment Information,"",Method,"",conditionCheckMethod,string,n,n,n/a,option list: conditionCheckMethods,"observed, xrayed",conditioncheck conditionCheckMethod,""
core conditioncheck ns2:conditionchecks_common conditionCheckReason,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionCheckReason,Condition Check/Technical Assessment Information,"",Reason,"",conditionCheckReason,string,n,n,n/a,option list: conditionCheckReasons,"conservation, damagedintransit, exhibition, loanin, newacquisition",conditioncheck conditionCheckReason,""
core conditioncheck ns2:conditionchecks_common conditionChecker,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionChecker,Condition Check/Technical Assessment Information,"",Checker/assessor,"",conditionChecker,string,n,n,n/a,authority: person/local; authority: organization/local,"",conditioncheck conditionChecker,""
core conditioncheck ns2:conditionchecks_common conditionCheckNote,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionCheckNote,Condition Check/Technical Assessment Information,"",Note,"",conditionCheckNote,string,n,n,n/a,"","",conditioncheck conditionCheckNote,""
core conditioncheck ns2:conditionchecks_common objectAuditCategory,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.objectAuditCategory,Object Condition Information,"",Object audit category,"",objectAuditCategory,string,n,n,n/a,option list: objectAuditCategories,"high, low, medium",conditioncheck objectAuditCategory,""
core conditioncheck ns2:conditionchecks_common conservationTreatmentPriority,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conservationTreatmentPriority,Object Condition Information,"",Conservation treatment priority,"",conservationTreatmentPriority,string,n,n,n/a,option list: conservationTreatmentPriorities,"high, low, medium",conditioncheck conservationTreatmentPriority,""
core conditioncheck ns2:conditionchecks_common nextConditionCheckDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.nextConditionCheckDate,Object Condition Information,"",Next check/assessment date,"",nextConditionCheckDate,date,n,n,n/a,"","",conditioncheck nextConditionCheckDate,""
core conditioncheck ns2:conditionchecks_common completeness,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.completeness,Object Condition Information,Completeness,Completeness description,completenessGroupList > completenessGroup,completeness,string,n,n,y,option list: completenessLevels,"complete, fragmented, incomplete",conditioncheck completeness,""
core conditioncheck ns2:conditionchecks_common completenessDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.completenessDate,Object Condition Information,Completeness,Completeness date,completenessGroupList > completenessGroup,completenessDate,date,n,n,y,"","",conditioncheck completenessDate,""
core conditioncheck ns2:conditionchecks_common completenessNote,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.completenessNote,Object Condition Information,Completeness,Completeness note,completenessGroupList > completenessGroup,completenessNote,string,n,n,y,"","",conditioncheck completenessNote,""
core conditioncheck ns2:conditionchecks_common hazard,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.hazard,Object Condition Information,Hazard,Hazard description,hazardGroupList > hazardGroup,hazard,string,n,n,y,option list: hazards,"poisonous, radioactive",conditioncheck hazard,""
core conditioncheck ns2:conditionchecks_common hazardDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.hazardDate,Object Condition Information,Hazard,Hazard date,hazardGroupList > hazardGroup,hazardDate,date,n,n,y,"","",conditioncheck hazardDate,""
core conditioncheck ns2:conditionchecks_common hazardNote,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.hazardNote,Object Condition Information,Hazard,Hazard note,hazardGroupList > hazardGroup,hazardNote,string,n,n,y,"","",conditioncheck hazardNote,""
core conditioncheck ns2:conditionchecks_common techAssessment,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.techAssessment,Object Condition Information,Technical assessment,Technical assessment description,techAssessmentGroupList > techAssessmentGroup,techAssessment,string,n,n,y,"","",conditioncheck techAssessment,""
core conditioncheck ns2:conditionchecks_common techAssessmentDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.techAssessmentDate,Object Condition Information,Technical assessment,Technical assessment date,techAssessmentGroupList > techAssessmentGroup,techAssessmentDate,date,n,n,y,"","",conditioncheck techAssessmentDate,""
core conditioncheck ns2:conditionchecks_common condition,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.condition,Object Condition Information,Condition,Condition description,conditionCheckGroupList > conditionCheckGroup,condition,string,n,n,y,option list: conditions,"exhibitableneedswork, injeopardy, needsnowork, notexhibitablestable",conditioncheck condition,""
core conditioncheck ns2:conditionchecks_common conditionDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionDate,Object Condition Information,Condition,Condition date,conditionCheckGroupList > conditionCheckGroup,conditionDate,date,n,n,y,"","",conditioncheck conditionDate,""
core conditioncheck ns2:conditionchecks_common conditionNote,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.conditionNote,Object Condition Information,Condition,Condition note,conditionCheckGroupList > conditionCheckGroup,conditionNote,string,n,n,y,"","",conditioncheck conditionNote,""
core conditioncheck ns2:conditionchecks_common envConditionNote,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.envConditionNote,Object Condition Information,Environmental condition,Environmental condition note,envConditionNoteGroupList > envConditionNoteGroup,envConditionNote,string,n,n,y,"","",conditioncheck envConditionNote,""
core conditioncheck ns2:conditionchecks_common envConditionNoteDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.envConditionNoteDate,Object Condition Information,Environmental condition,Environmental condition date,envConditionNoteGroupList > envConditionNoteGroup,envConditionNoteDate,date,n,n,y,"","",conditioncheck envConditionNoteDate,""
core conditioncheck ns2:conditionchecks_common displayRecommendations,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.displayRecommendations,Object Recommendation/Requirement Information,"",Display recommendation,"",displayRecommendations,string,n,n,n/a,"","",conditioncheck displayRecommendations,""
core conditioncheck ns2:conditionchecks_common handlingRecommendations,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.handlingRecommendations,Object Recommendation/Requirement Information,"",Handling recommendation,"",handlingRecommendations,string,n,n,n/a,"","",conditioncheck handlingRecommendations,""
core conditioncheck ns2:conditionchecks_common securityRecommendations,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.securityRecommendations,Object Recommendation/Requirement Information,"",Security recommendation,"",securityRecommendations,string,n,n,n/a,"","",conditioncheck securityRecommendations,""
core conditioncheck ns2:conditionchecks_common storageRequirements,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.storageRequirements,Object Recommendation/Requirement Information,"",Storage recommendation,"",storageRequirements,string,n,n,n/a,"","",conditioncheck storageRequirements,""
core conditioncheck ns2:conditionchecks_common envRecommendations,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.envRecommendations,Object Recommendation/Requirement Information,"",Environmental recommendation,"",envRecommendations,string,n,n,n/a,"","",conditioncheck envRecommendations,""
core conditioncheck ns2:conditionchecks_common packingRecommendations,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.packingRecommendations,Object Recommendation/Requirement Information,"",Packing recommendation,"",packingRecommendations,string,n,n,n/a,"","",conditioncheck packingRecommendations,""
core conditioncheck ns2:conditionchecks_common specialRequirements,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.specialRequirements,Object Recommendation/Requirement Information,"",Special requirement,"",specialRequirements,string,n,n,n/a,"","",conditioncheck specialRequirements,""
core conditioncheck ns2:conditionchecks_common legalRequirements,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalRequirements,Object Recommendation/Requirement Information,"",Legal requirement,"",legalRequirements,string,n,n,n/a,"","",conditioncheck legalRequirements,""
core conditioncheck ns2:conditionchecks_common legalReqsHeld,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalReqsHeld,Object Recommendation/Requirement Information,Legal/license requirement held,Legal/license requirement held description,legalReqsHeldGroupList > legalReqsHeldGroup,legalReqsHeld,string,n,n,y,"","",conditioncheck legalReqsHeld,""
core conditioncheck ns2:conditionchecks_common legalReqsHeldBeginDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalReqsHeldBeginDate,Object Recommendation/Requirement Information,Legal/license requirement held,Legal/license requirement held begin date,legalReqsHeldGroupList > legalReqsHeldGroup,legalReqsHeldBeginDate,date,n,n,y,"","",conditioncheck legalReqsHeldBeginDate,""
core conditioncheck ns2:conditionchecks_common legalReqsHeldEndDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalReqsHeldEndDate,Object Recommendation/Requirement Information,Legal/license requirement held,Legal/license requirement held end date,legalReqsHeldGroupList > legalReqsHeldGroup,legalReqsHeldEndDate,date,n,n,y,"","",conditioncheck legalReqsHeldEndDate,""
core conditioncheck ns2:conditionchecks_common legalReqsHeldNumber,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalReqsHeldNumber,Object Recommendation/Requirement Information,Legal/license requirement held,Legal/license requirement held number,legalReqsHeldGroupList > legalReqsHeldGroup,legalReqsHeldNumber,string,n,n,y,"","",conditioncheck legalReqsHeldNumber,""
core conditioncheck ns2:conditionchecks_common legalReqsHeldRenewDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.legalReqsHeldRenewDate,Object Recommendation/Requirement Information,Legal/license requirement held,Legal/license requirement held renewal date,legalReqsHeldGroupList > legalReqsHeldGroup,legalReqsHeldRenewDate,date,n,n,y,"","",conditioncheck legalReqsHeldRenewDate,""
core conditioncheck ns2:conditionchecks_common salvagePriorityCode,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.salvagePriorityCode,Object Recommendation/Requirement Information,Salvage priority,Salvage priority code,salvagePriorityCodeGroupList > salvagePriorityCodeGroup,salvagePriorityCode,string,n,n,y,option list: salvagePriorityCodes,"high, low, medium",conditioncheck salvagePriorityCode,""
core conditioncheck ns2:conditionchecks_common salvagePriorityCodeDate,core,conditioncheck,ns2:conditionchecks_common,ns2:conditionchecks_common,conditionchecks_common.salvagePriorityCodeDate,Object Recommendation/Requirement Information,Salvage priority,Salvage priority date,salvagePriorityCodeGroupList > salvagePriorityCodeGroup,salvagePriorityCodeDate,date,n,n,y,"","",conditioncheck salvagePriorityCodeDate,""
core conservation ns2:conservation_common conservationNumber,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservationNumber,Conservation Treatment Information,"",Reference number,"",conservationNumber,string,y,n,n/a,"","",conservation conservationNumber,""
core conservation ns2:conservation_common status,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.status,Conservation Treatment Information,Procedural status,Procedural status,conservationStatusGroupList > conservationStatusGroup,status,string,n,n,y,vocabulary: conservationstatus,"",conservation status,""
core conservation ns2:conservation_common statusDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.statusDate,Conservation Treatment Information,Procedural status,Procedural status date,conservationStatusGroupList > conservationStatusGroup,statusDate,date,n,n,y,"","",conservation statusDate,""
core conservation ns2:conservation_common treatmentPurpose,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.treatmentPurpose,Conservation Treatment Information,"",Treatment purpose,"",treatmentPurpose,string,n,n,n/a,vocabulary: treatmentpurpose,"",conservation treatmentPurpose,""
core conservation ns2:conservation_common conservator,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservator,Conservation Treatment Information,"",Conservator,conservators,conservator,string,n,y,n,authority: person/local; authority: organization/local,"",conservation conservator,""
core conservation ns2:conservation_common otherParty,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherParty,Conservation Treatment Information,Other treatment party,Other treatment party name,otherPartyGroupList > otherPartyGroup,otherParty,string,n,n,y,authority: person/local; authority: organization/local,"",conservation otherParty,""
core conservation ns2:conservation_common otherPartyRole,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherPartyRole,Conservation Treatment Information,Other treatment party,Other treatment party role,otherPartyGroupList > otherPartyGroup,otherPartyRole,string,n,n,y,vocabulary: otherpartyrole,"",conservation otherPartyRole,""
core conservation ns2:conservation_common otherPartyNote,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherPartyNote,Conservation Treatment Information,Other treatment party,Other treatment party note,otherPartyGroupList > otherPartyGroup,otherPartyNote,string,n,n,y,"","",conservation otherPartyNote,""
core conservation ns2:conservation_common examinationStaff,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.examinationStaff,Conservation Treatment Information,Examination,Examination staff,examinationGroupList > examinationGroup,examinationStaff,string,n,n,y,authority: person/local,"",conservation examinationStaff,""
core conservation ns2:conservation_common examinationPhase,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.examinationPhase,Conservation Treatment Information,Examination,Examination phase of treatment,examinationGroupList > examinationGroup,examinationPhase,string,n,n,y,vocabulary: examinationphase,"",conservation examinationPhase,""
core conservation ns2:conservation_common examinationDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.examinationDate,Conservation Treatment Information,Examination,Examination date,examinationGroupList > examinationGroup,examinationDate,date,n,n,y,"","",conservation examinationDate,""
core conservation ns2:conservation_common examinationNote,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.examinationNote,Conservation Treatment Information,Examination,Examination note,examinationGroupList > examinationGroup,examinationNote,string,n,n,y,"","",conservation examinationNote,""
core conservation ns2:conservation_common fabricationNote,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.fabricationNote,Conservation Treatment Information,"",Fabrication note,"",fabricationNote,string,n,n,n/a,"","",conservation fabricationNote,""
core conservation ns2:conservation_common proposedTreatment,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.proposedTreatment,Conservation Treatment Information,"",Proposed treatment,"",proposedTreatment,string,n,n,n/a,"","",conservation proposedTreatment,""
core conservation ns2:conservation_common approvedBy,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.approvedBy,Conservation Treatment Information,"",Approved by,"",approvedBy,string,n,n,n/a,authority: person/local,"",conservation approvedBy,""
core conservation ns2:conservation_common approvedDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.approvedDate,Conservation Treatment Information,"",Approval date,"",approvedDate,date,n,n,n/a,"","",conservation approvedDate,""
core conservation ns2:conservation_common treatmentStartDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.treatmentStartDate,Conservation Treatment Information,"",Treatment start date,"",treatmentStartDate,date,n,n,n/a,"","",conservation treatmentStartDate,""
core conservation ns2:conservation_common treatmentEndDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.treatmentEndDate,Conservation Treatment Information,"",Treatment end date,"",treatmentEndDate,date,n,n,n/a,"","",conservation treatmentEndDate,""
core conservation ns2:conservation_common treatmentSummary,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.treatmentSummary,Conservation Treatment Information,"",Treatment summary,"",treatmentSummary,string,n,n,n/a,"","",conservation treatmentSummary,""
core conservation ns2:conservation_common proposedAnalysis,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.proposedAnalysis,Object Analysis Information,"",Proposed analysis,"",proposedAnalysis,string,n,n,n/a,"","",conservation proposedAnalysis,""
core conservation ns2:conservation_common researcher,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.researcher,Object Analysis Information,"",Analysis researcher,"",researcher,string,n,n,n/a,authority: person/local,"",conservation researcher,""
core conservation ns2:conservation_common proposedAnalysisDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.proposedAnalysisDate,Object Analysis Information,"",Analysis proposal date,"",proposedAnalysisDate,date,n,n,n/a,"","",conservation proposedAnalysisDate,""
core conservation ns2:conservation_common destAnalysisApprovedDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.destAnalysisApprovedDate,Object Analysis Information,Destructive analysis,Destructive analysis approval date,destAnalysisGroupList > destAnalysisGroup,destAnalysisApprovedDate,date,n,n,y,"","",conservation destAnalysisApprovedDate,""
core conservation ns2:conservation_common destAnalysisApprovalNote,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.destAnalysisApprovalNote,Object Analysis Information,Destructive analysis,Destructive analysis approval note,destAnalysisGroupList > destAnalysisGroup,destAnalysisApprovalNote,string,n,n,y,"","",conservation destAnalysisApprovalNote,""
core conservation ns2:conservation_common sampleBy,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleBy,Object Analysis Information,Destructive analysis,Destructive analysis sample taken by,destAnalysisGroupList > destAnalysisGroup,sampleBy,string,n,n,y,authority: person/local,"",conservation sampleBy,""
core conservation ns2:conservation_common sampleDate,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleDate,Object Analysis Information,Destructive analysis,Destructive analysis sample date,destAnalysisGroupList > destAnalysisGroup,sampleDate,date,n,n,y,"","",conservation sampleDate,""
core conservation ns2:conservation_common sampleDescription,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleDescription,Object Analysis Information,Destructive analysis,Destructive analysis sample description,destAnalysisGroupList > destAnalysisGroup,sampleDescription,string,n,n,y,"","",conservation sampleDescription,""
core conservation ns2:conservation_common sampleReturned,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleReturned,Object Analysis Information,Destructive analysis,Destructive analysis sample returned,destAnalysisGroupList > destAnalysisGroup,sampleReturned,boolean,n,n,y,"","",conservation sampleReturned,""
core conservation ns2:conservation_common sampleReturnedLocation,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.sampleReturnedLocation,Object Analysis Information,Destructive analysis,Destructive analysis sample returned location,destAnalysisGroupList > destAnalysisGroup,sampleReturnedLocation,string,n,n,y,"","",conservation sampleReturnedLocation,""
core conservation ns2:conservation_common analysisMethod,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.analysisMethod,Object Analysis Information,"",Analytical methodology,"",analysisMethod,string,n,n,n/a,"","",conservation analysisMethod,""
core conservation ns2:conservation_common analysisResults,core,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.analysisResults,Object Analysis Information,"",Analytical result,"",analysisResults,string,n,n,n/a,"","",conservation analysisResults,""
core exhibition ns2:exhibitions_common exhibitionNumber,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.exhibitionNumber,Exhibition Information,"",Exhibition number,"",exhibitionNumber,string,y,n,n/a,"","",exhibition exhibitionNumber,""
core exhibition ns2:exhibitions_common type,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.type,Exhibition Information,"",Type,"",type,string,n,n,n/a,vocabulary: exhibitiontype,"",exhibition type,""
core exhibition ns2:exhibitions_common title,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.title,Exhibition Information,"",Title,"",title,string,n,n,n/a,"","",exhibition title,""
core exhibition ns2:exhibitions_common sponsor,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.sponsor,Exhibition Information,"",Sponsor,sponsors,sponsor,string,n,y,n,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",exhibition sponsor,""
core exhibition ns2:exhibitions_common organizer,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.organizer,Exhibition Information,"",Organizer,organizers,organizer,string,n,y,n,authority: person/local; authority: person/ulan; authority: organization/local; authority: organization/ulan,"",exhibition organizer,""
core exhibition ns2:exhibitions_common publishTo,core,exhibition,ns2:exhibitions_common,ns2:exhibitions_common,exhibitions_common.publishTo,Exhibition Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,"",exhibition publishTo,""
